provincia,zona,titulo,precio_actual,metros,habitaciones,ascensor,planta,baños,cod_distrito,renta_neta_media_por_hogar
madrid,moncloa,"Piso en calle de Francos Rodríguez, 102, Valdezarza, Madrid",350000,75,3.0,N,1ª,1,09,71711
madrid,moncloa,"Dúplex en Ciudad Universitaria, Madrid",810000,130,3.0,S,3ª,0,09,71711
madrid,retiro,"Piso en calle de Abtao, 22, Pacífico, Madrid",419900,50,2.0,S,1ª,1,03,64787
madrid,centro,"Piso en calle de Cedaceros, Huertas-Cortes, Madrid",1450000,103,2.0,S,3ª,0,01,44958
madrid,barrio-de-salamanca,"Piso en calle de Castelló, Castellana, Madrid",749000,74,2.0,S,1ª,1,04,69147
madrid,chamberi,"Estudio en Cristóbal bordiu, 30, Nuevos Ministerios-Ríos Rosas, Madrid",240000,37,4.0,S,2ª,0,07,65174
madrid,tetuan,"Piso en calle de Orense, Cuatro Caminos, Madrid",949500,190,4.0,S,2ª,0,06,45762
madrid,latina,"Piso en calle de Santa Cecilia, Lucero, Madrid",438209,84,3.0,S,1ª,2,10,38078
madrid,ciudad-lineal,"Piso en Quintana, Madrid",290000,70,3.0,N,1ª,0,15,46937
madrid,vicalvaro,"Piso en Casco Histórico de Vicálvaro, Madrid",159000,54,2.0,N,2ª,0,19,4287
madrid,tetuan,"Estudio en calle Pinos Alta, 30, Ventilla-Almenara, Madrid",175000,41,3.0,N,BAJO,0,06,45762
madrid,chamberi,"Piso en Almagro, Madrid",3500000,183,3.0,S,9ª,0,07,65174
madrid,chamartin,"Piso en Nueva España, Madrid",2290000,258,4.0,N,9ª,0,05,79274
madrid,chamartin,"Piso en calle de Luis Cabrera, Prosperidad, Madrid",485000,87,2.0,S,2ª,1,05,79274
madrid,retiro,"Piso en calle de los astros, 11, Estrella, Madrid",595000,100,3.0,S,11ª,1,03,64787
madrid,chamberi,"Piso en calle de Andrés Mellado, Gaztambide, Madrid",635000,81,3.0,S,3ª,2,07,65174
madrid,centro,"Piso en Lavapiés-Embajadores, Madrid",345000,81,3.0,S,1ª,0,01,44958
madrid,chamartin,"Piso en avenida de América, Prosperidad, Madrid",900000,150,5.0,S,2ª,2,05,79274
madrid,retiro,"Piso en calle de Catalina Suárez, 6, Adelfas, Madrid",282500,48,2.0,S,3ª,0,03,64787
madrid,villaverde,"Piso en paseo de los Ferroviarios, Villaverde Alto, Madrid",194500,92,3.0,N,3ª,1,17,35011
madrid,barrio-de-salamanca,"Ático en calle de Sancho Dávila, Fuente del Berro, Madrid",665000,120,3.0,S,8ª,0,04,69147
madrid,chamberi,"Piso en calle de Santa Engracia, Almagro, Madrid",1400000,146,2.0,S,1ª,0,07,65174
madrid,chamberi,"Piso en calle Bretón de los Herreros, 23, Nuevos Ministerios-Ríos Rosas, Madrid",1695000,154,2.0,S,3ª,0,07,65174
madrid,retiro,"Piso en calle de Menorca, 6, Ibiza, Madrid",675000,79,2.0,S,2ª,0,03,64787
